Gesture: Compass | Variant: Baseline | EER: 0.4650
Gesture: Piano | Variant: Baseline | EER: 0.5200
Gesture: Push | Variant: Baseline | EER: 0.4400
Gesture: UCDO | Variant: Baseline | EER: 0.3850
Gesture: Compass | Variant: TemporalHierarchy | EER: 0.4200
Gesture: Piano | Variant: TemporalHierarchy | EER: 0.5400
Gesture: Push | Variant: TemporalHierarchy | EER: 0.4400
Gesture: UCDO | Variant: TemporalHierarchy | EER: 0.4000
Gesture: Compass | Variant: AdditionalTunnels | EER: 0.2600
Gesture: Piano | Variant: AdditionalTunnels | EER: 0.4400
Gesture: Push | Variant: AdditionalTunnels | EER: 0.3800
Gesture: UCDO | Variant: AdditionalTunnels | EER: 0.4400
Gesture: Compass | Variant: Baseline | EER: 0.2800
Gesture: Piano | Variant: Baseline | EER: 0.3053
Gesture: Push | Variant: Baseline | EER: 0.2800
Gesture: UCDO | Variant: Baseline | EER: 0.2984
Gesture: Compass | Variant: TemporalHierarchy | EER: 0.2887
Gesture: Piano | Variant: TemporalHierarchy | EER: 0.3030
Gesture: Push | Variant: TemporalHierarchy | EER: 0.2750
Gesture: UCDO | Variant: TemporalHierarchy | EER: 0.2604
Gesture: Compass | Variant: AdditionalTunnels | EER: 0.2036
Gesture: Piano | Variant: AdditionalTunnels | EER: 0.2800
Gesture: Push | Variant: AdditionalTunnels | EER: 0.2800
Gesture: UCDO | Variant: AdditionalTunnels | EER: 0.2200
Gesture: Compass | Variant: Baseline | EER: 0.2800
Gesture: Piano | Variant: Baseline | EER: 0.3053
Gesture: Push | Variant: Baseline | EER: 0.2800
Gesture: UCDO | Variant: Baseline | EER: 0.2984
Gesture: Compass | Variant: TemporalHierarchy | EER: 0.2887
Gesture: Piano | Variant: TemporalHierarchy | EER: 0.3030
Gesture: Push | Variant: TemporalHierarchy | EER: 0.2750
Gesture: UCDO | Variant: TemporalHierarchy | EER: 0.2604
Gesture: Compass | Variant: AdditionalTunnels | EER: 0.2025
Gesture: Piano | Variant: AdditionalTunnels | EER: 0.3034
Gesture: Push | Variant: AdditionalTunnels | EER: 0.2879
Gesture: UCDO | Variant: AdditionalTunnels | EER: 0.2000
Gesture: Compass | Variant: Baseline | EER: 0.2800
Gesture: Piano | Variant: Baseline | EER: 0.3053
Gesture: Push | Variant: Baseline | EER: 0.2800
Gesture: UCDO | Variant: Baseline | EER: 0.2984
Gesture: Compass | Variant: TemporalHierarchy | EER: 0.2887
Gesture: Piano | Variant: TemporalHierarchy | EER: 0.3030
Gesture: Push | Variant: TemporalHierarchy | EER: 0.2750
Gesture: UCDO | Variant: TemporalHierarchy | EER: 0.2604
Gesture: Compass | Variant: AdditionalTunnels | EER: 0.2025
Gesture: Piano | Variant: AdditionalTunnels | EER: 0.3034
Gesture: Push | Variant: AdditionalTunnels | EER: 0.2879
Gesture: UCDO | Variant: AdditionalTunnels | EER: 0.2000
